time_ms,signal_V
1.388689200000000028e+02,-2.314858229858329786e-03
1.388750400000000127e+02,-2.867247450702631317e-03
1.388811599999999942e+02,-3.133914120702629980e-03
1.388872800000000041e+02,-2.685667584067852331e-03
1.388934000000000140e+02,-2.745217970437752175e-03
1.388995199999999954e+02,-1.907003451227268220e-03
1.389056400000000053e+02,-2.535905155882006712e-03
1.389117599999999868e+02,-2.952301998144390982e-03
1.389178799999999967e+02,-2.892938153666591017e-03
1.389239999999999782e+02,-2.590972707382011020e-03
1.389301199999999881e+02,-3.657639387382005669e-03
1.389362399999999980e+02,-3.365892162014189060e-03
1.389423599999999794e+02,-2.727889784061243716e-03
1.389484800000000178e+02,-2.775481281544228684e-03
1.389545999999999992e+02,-3.044068167165514538e-03
1.389607200000000091e+02,-3.572308525130768464e-03
1.389668400000000190e+02,-2.683869398136168316e-03
1.389729600000000005e+02,-2.857639377382009682e-03
1.389790800000000104e+02,-3.172141603645733943e-03
1.389851999999999919e+02,-2.600580780702632655e-03
1.389913200000000018e+02,-2.867247450702631317e-03
1.389974400000000117e+02,-2.625140961855620958e-03
1.390035599999999931e+02,-3.390972717382007007e-03
1.390096800000000030e+02,-3.124306047382008344e-03
1.390157999999999845e+02,-3.017742055489575081e-03
1.390219199999999944e+02,-3.534479386173738913e-03
1.390280400000000043e+02,-2.752205906827565052e-03
1.390341599999999858e+02,-2.581364635097366245e-03
1.390402799999999957e+02,-3.165462238696459263e-03
1.390463999999999771e+02,-2.834209717260227634e-03
1.390525200000000154e+02,-2.318602908450623223e-03
1.390586400000000253e+02,-2.826399830552578374e-03
1.390647600000000068e+02,-1.937870929818286125e-03
1.390708800000000167e+02,-2.523612434600031040e-03
1.390769999999999982e+02,-2.911486634412152608e-03
1.390831200000000081e+02,-2.440786673832129328e-03
1.390892399999999895e+02,-3.331422331642408530e-03
1.390953599999999994e+02,-3.319553215806292368e-03
1.391014800000000093e+02,-3.124306047382008344e-03
1.391075999999999908e+02,-3.097947679744250671e-03
1.391137200000000007e+02,-1.749007530936846910e-03
1.391198399999999822e+02,-2.848031305097364907e-03
1.391259599999999921e+02,-3.335327274589267033e-03
1.391320800000000020e+02,-2.931011351366474837e-03
1.391381999999999834e+02,-2.581364635097366245e-03
1.391443199999999933e+02,-3.509405825516648258e-03
1.391504399999999748e+02,-3.216380787777639583e-03
1.391565600000000131e+02,-3.198654257205946205e-03
1.391626800000000230e+02,-3.334351038749822083e-03
1.391688000000000045e+02,-3.381364645097362231e-03
1.391749200000000144e+02,-3.649983786775140571e-03
1.391810399999999959e+02,-3.365590585581418326e-03
1.391871600000000058e+02,-3.167414710374238940e-03
1.391932800000000157e+02,-3.114697975097363569e-03
