% Moku:Lab Oscilloscope
% Channel A (Input 1, on), DC , 1 MOhm , 1 Vpp, 1 x probe attenuation
% Channel B (Output 1, on), 1 x probe attenuation
% Time span 186.2 ms, time offset -178.9 ms, Normal acquisition mode, no averaging
% Edge trigger: Channel B, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Ramp, 10.000 000 Hz, 1.200 0 Vpp, offset 21.0 mV, phase 0.000 000 deg, symmetry 50.00 %, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2025-11-12 T 15:36:45 -0500
% Time (s), Channel A (V), Channel B (V)
7.6729320000e-02, 1.3693333187e+00, -5.5843333954e-01
7.6742336000e-02, 1.3719999853e+00, -5.5810000620e-01
7.6755352000e-02, 1.3693333187e+00, -5.5776667287e-01
7.6768368000e-02, 1.3693333187e+00, -5.5746667286e-01
7.6781384000e-02, 1.3693333187e+00, -5.5716667286e-01
7.6794400000e-02, 1.3719999853e+00, -5.5683333952e-01
7.6807416000e-02, 1.3693333187e+00, -5.5653333952e-01
7.6820432000e-02, 1.3773333186e+00, -5.5623333952e-01
7.6833448000e-02, 1.3719999853e+00, -5.5590000618e-01
7.6846464000e-02, 1.3799999852e+00, -5.5560000618e-01
7.6859480000e-02, 1.3719999853e+00, -5.5530000617e-01
7.6872496000e-02, 1.3719999853e+00, -5.5496667284e-01
7.6885512000e-02, 1.3773333186e+00, -5.5466667283e-01
7.6898528000e-02, 1.3773333186e+00, -5.5436667283e-01
7.6911544000e-02, 1.3693333187e+00, -5.5403333949e-01
7.6924560000e-02, 1.3773333186e+00, -5.5373333949e-01
7.6937576000e-02, 1.3746666519e+00, -5.5343333949e-01
7.6950592000e-02, 1.3746666519e+00, -5.5310000615e-01
7.6963608000e-02, 1.3746666519e+00, -5.5280000615e-01
7.6976624000e-02, 1.3746666519e+00, -5.5246667281e-01
7.6989640000e-02, 1.3746666519e+00, -5.5216667281e-01
7.7002656000e-02, 1.3746666519e+00, -5.5183333947e-01
7.7015672000e-02, 1.3746666519e+00, -5.5153333947e-01
7.7028688000e-02, 1.3746666519e+00, -5.5123333946e-01
7.7041704000e-02, 1.3746666519e+00, -5.5090000612e-01
7.7054720000e-02, 1.3773333186e+00, -5.5060000612e-01
7.7067736000e-02, 1.3773333186e+00, -5.5030000612e-01
7.7080752000e-02, 1.3746666519e+00, -5.4996667278e-01
7.7093768000e-02, 1.3746666519e+00, -5.4966667278e-01
7.7106784000e-02, 1.3799999852e+00, -5.4936667277e-01
7.7119800000e-02, 1.3719999853e+00, -5.4903333944e-01
7.7132816000e-02, 1.3746666519e+00, -5.4873333943e-01
